Entity	Code	Year	Cantril ladder score	GDP per capita, PPP (constant 2017 international $)	Population (historical estimates)	Continent
Denmark	DNK	2010		50825.414	5550850	
Denmark	DNK	2011	7.85574	51293.207	5576016	
Denmark	DNK	2012		51216.31	5600955	
Denmark	DNK	2013		51479.266	5625393	
Denmark	DNK	2014	7.527	52048.336	5650654	
Finland	FIN	2010		45874.66	5363279	
Finland	FIN	2011	7.579009	46825.824	5388173	
Finland	FIN	2012		45952.246	5413865	
Finland	FIN	2013		45328.574	5438873	
Finland	FIN	2014	7.406	44976.777	5461436	
