Entity	Code	Year	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score	Population (historical estimates)	Continent
Denmark	DNK	2011	79.8	7.85574	5576016	
Denmark	DNK	2014	80.6	7.527	5650654	
Denmark	DNK	2015	80.7	7.526	5677795	Europe
Denmark	DNK	2013	80.3		5625393	
Denmark	DNK	2012	80.1		5600955	
Denmark	DNK	2010	79.2		5550850	
Finland	FIN	2011	80.4	7.579009	5388173	
Finland	FIN	2015	81.4	7.413	5479457	Europe
Finland	FIN	2014	81	7.406	5461436	
Finland	FIN	2013	80.9		5438873	
Finland	FIN	2012	80.5		5413865	
Finland	FIN	2010	80		5363279	
