Entity	Code	Year	Homicide rate per 100,000 population - Both sexes - All ages
Afghanistan	AFG	2009	4.071527
Afghanistan	AFG	2010	3.487093
Afghanistan	AFG	2011	4.208668
Afghanistan	AFG	2012	6.393913
Afghanistan	AFG	2015	9.975262
Afghanistan	AFG	2016	6.692419
Afghanistan	AFG	2017	6.800695
Afghanistan	AFG	2018	6.743573
Afghanistan	AFG	2019	7.180397
Afghanistan	AFG	2020	6.594439
Afghanistan	AFG	2021	4.022498
Africa (UN)		2000	13.64595
Africa (UN)		2001	13.58939
Africa (UN)		2002	13.52475
Africa (UN)		2003	13.096
Africa (UN)		2004	12.85043
Africa (UN)		2005	12.70913
Africa (UN)		2006	12.75915
Africa (UN)		2007	12.55536
Africa (UN)		2008	12.49826
Africa (UN)		2009	12.34263
Africa (UN)		2010	12.2265
Africa (UN)		2011	12.29062
Africa (UN)		2012	12.34045
Africa (UN)		2013	12.35968
Africa (UN)		2014	12.48355
Africa (UN)		2015	12.36655
Africa (UN)		2016	12.33479
Africa (UN)		2017	12.51506
Africa (UN)		2018	12.31769
Africa (UN)		2019	12.31371
Africa (UN)		2020	12.0667
Africa (UN)		2021	12.65576
Albania	ALB	1992	3.934936
Albania	ALB	1993	5.786633
Albania	ALB	1994	3.400123
Albania	ALB	1995	7.88585
Albania	ALB	1996	8.314658
Albania	ALB	1997	40.99924
Albania	ALB	1998	20.41968
Albania	ALB	1999	16.5822
Albania	ALB	2000	4.116881
Albania	ALB	2001	6.976128
Albania	ALB	2002	6.915206
Albania	ALB	2003	5.366973
Albania	ALB	2004	4.27738
Albania	ALB	2005	5.078094
Albania	ALB	2006	3.163096
Albania	ALB	2007	3.528127
Albania	ALB	2008	3.150739
Albania	ALB	2009	2.900488
Albania	ALB	2010	4.084576
Albania	ALB	2011	4.895448
Albania	ALB	2012	5.428407
Albania	ALB	2013	4.295095
Albania	ALB	2014	4.64616
Albania	ALB	2015	2.22031
Albania	ALB	2016	2.742044
Albania	ALB	2017	2.01434
Albania	ALB	2018	2.294046
Albania	ALB	2019	2.261748
Albania	ALB	2020	2.127772
Albania	ALB	2021	2.311969
Algeria	DZA	2006	0.933152
Algeria	DZA	2007	0.797438
Algeria	DZA	2008	0.948811
Algeria	DZA	2009	0.78702
Algeria	DZA	2010	0.708382
Algeria	DZA	2011	0.766209
Algeria	DZA	2012	1.403629
Algeria	DZA	2013	1.263137
Algeria	DZA	2014	1.488642
Algeria	DZA	2015	1.38077
Algeria	DZA	2016	1.343602
Algeria	DZA	2017	1.273807
Algeria	DZA	2018	1.354735
Algeria	DZA	2019	1.215304
Algeria	DZA	2020	1.505121
Algeria	DZA	2021	1.573182
American Samoa	ASM	2001	1.71456
American Samoa	ASM	2002	12.03225
American Samoa	ASM	2003	5.177725
American Samoa	ASM	2004	6.941371
American Samoa	ASM	2005	10.47962
American Samoa	ASM	2006	7.037607
American Samoa	ASM	2007	1.7736
American Samoa	ASM	2008	5.367639
American Samoa	ASM	2009	3.612325
American Samoa	ASM	2010	9.115853
American Samoa	ASM	2011	9.206408
American Samoa	ASM	2012	3.724984
American Samoa	ASM	2013	5.660912
American Samoa	ASM	2014	5.74531
American Samoa	ASM	2015	7.786949
American Samoa	ASM	2016	0
American Samoa	ASM	2017	14.15199
American Samoa	ASM	2018	26.84619
American Samoa	ASM	2019	0
Americas (UN)		2000	15.4731
Americas (UN)		2001	16.23082
Americas (UN)		2002	16.26652
Americas (UN)		2003	16.09176
Americas (UN)		2004	15.0665
Americas (UN)		2005	14.7924
Americas (UN)		2006	15.03404
Americas (UN)		2007	14.63941
Americas (UN)		2008	15.58024
Americas (UN)		2009	16.30744
Americas (UN)		2010	16.61917
Americas (UN)		2011	16.89151
Americas (UN)		2012	17.01111
Americas (UN)		2013	16.4981
Americas (UN)		2014	16.234
Americas (UN)		2015	15.9623
Americas (UN)		2016	16.67774
Americas (UN)		2017	16.95526
Americas (UN)		2018	16.38063
Americas (UN)		2019	15.09908
Americas (UN)		2020	15.07884
Americas (UN)		2021	14.96415
Andorra	AND	2004	1.299824
Andorra	AND	2007	0
Andorra	AND	2008	1.314838
Andorra	AND	2009	0
Andorra	AND	2010	0
Andorra	AND	2011	1.417083
Andorra	AND	2012	0
Andorra	AND	2013	0
Andorra	AND	2014	0
Andorra	AND	2015	0
Andorra	AND	2020	2.574003
Angola	AGO	2011	4.348881
Angola	AGO	2012	4.83161
Angola	AGO	2015	4.458235
Angola	AGO	2016	4.102248
Anguilla	AIA	1990	0
Anguilla	AIA	1991	11.60564
Anguilla	AIA	1992	0
Anguilla	AIA	1993	10.96311
Anguilla	AIA	1994	0
Anguilla	AIA	1995	10.41612
Anguilla	AIA	1996	0
Anguilla	AIA	1997	9.870207
Anguilla	AIA	1998	0
Anguilla	AIA	1999	0
Anguilla	AIA	2000	9.051822
Anguilla	AIA	2001	0
Anguilla	AIA	2002	17.30029
Anguilla	AIA	2003	17.02997
Anguilla	AIA	2004	8.37942
Anguilla	AIA	2005	0
Anguilla	AIA	2006	40.56795
Anguilla	AIA	2007	31.9374
Anguilla	AIA	2008	7.855151
Anguilla	AIA	2009	7.724394
Anguilla	AIA	2010	0
Anguilla	AIA	2011	0
Anguilla	AIA	2012	37.16091
Anguilla	AIA	2013	7.29927
Anguilla	AIA	2014	28.32761
Antigua and Barbuda	ATG	1990	1.57908
Antigua and Barbuda	ATG	1991	4.714461
Antigua and Barbuda	ATG	1992	3.09315
Antigua and Barbuda	ATG	1993	6.075934
Antigua and Barbuda	ATG	1994	7.454676
Antigua and Barbuda	ATG	1995	10.23422
Antigua and Barbuda	ATG	1996	4.298118
Antigua and Barbuda	ATG	1997	1.404149
Antigua and Barbuda	ATG	2000	6.661781
Antigua and Barbuda	ATG	2001	9.184544
Antigua and Barbuda	ATG	2002	6.477103
Antigua and Barbuda	ATG	2003	6.40414
Antigua and Barbuda	ATG	2004	5.067075
