Entity	Code	Year	Homicide rate per 100,000 population - Both sexes - All ages
Afghanistan	AFG	2009	4.071527
Afghanistan	AFG	2010	3.487093
Afghanistan	AFG	2011	4.208668
Afghanistan	AFG	2012	6.393913
Afghanistan	AFG	2015	9.975262
Afghanistan	AFG	2016	6.692419
Afghanistan	AFG	2017	6.800695
Afghanistan	AFG	2018	6.743573
Afghanistan	AFG	2019	7.180397
Afghanistan	AFG	2020	6.594439
Afghanistan	AFG	2021	4.022498
Africa (UN)		2000	13.64595
Africa (UN)		2001	13.58939
Africa (UN)		2002	13.52475
Africa (UN)		2003	13.096
Africa (UN)		2004	12.85043
Africa (UN)		2005	12.70913
Africa (UN)		2006	12.75915
Africa (UN)		2007	12.55536
Africa (UN)		2008	12.49826
Africa (UN)		2009	12.34263
Africa (UN)		2010	12.2265
Africa (UN)		2011	12.29062
Africa (UN)		2012	12.34045
Africa (UN)		2013	12.35968
Africa (UN)		2014	12.48355
Africa (UN)		2015	12.36655
Africa (UN)		2016	12.33479
Africa (UN)		2017	12.51506
Africa (UN)		2018	12.31769
Africa (UN)		2019	12.31371
Africa (UN)		2020	12.0667
Africa (UN)		2021	12.65576
Albania	ALB	1992	3.934936
Albania	ALB	1993	5.786633
Albania	ALB	1994	3.400123
Albania	ALB	1995	7.88585
Albania	ALB	1996	8.314658
Albania	ALB	1997	40.99924
Albania	ALB	1998	20.41968
Albania	ALB	1999	16.5822
Albania	ALB	2000	4.116881
Albania	ALB	2001	6.976128
Albania	ALB	2002	6.915206
