Entity	Code	Year	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score	Population (historical estimates)	Continent
Finland	FIN	2006	79.4		5266249	
Finland	FIN	2007	79.4		5288694	
France	FRA	2002	79.4		59372784	
France	FRA	2003	79.4		59728260	
Guernsey	GGY	1998	79.4		58753	
Japan	JPN	1993	79.4		124779576	
Jersey	JEY	2003	79.4		88777	
Kuwait	KWT	2014	79.4	6.295	3761590	
Luxembourg	LUX	2005	79.4		464868	
Luxembourg	LUX	2006	79.4		472402	
Maldives	MDV	2014	79.4		416746	
Monaco	MCO	1996	79.4		31740	
More developed regions		2017	79.4			
New Zealand	NZL	2004	79.4		4081415	
Oceania (UN)		2021	79.4		44491724	
Singapore	SGP	2003	79.4		4226417	
Spain	ESP	2000	79.4		40741652	
Sweden	SWE	1998	79.4		8828629	
United Kingdom	GBR	2006	79.4		60803700	
Albania	ALB	2019	79.3	4.8827	2873883	
Australia	AUS	1999	79.3		18800892	
Bahrain	BHR	2014	79.3	5.96	1311142	
Bermuda	BMU	2003	79.3		62490	
Bermuda	BMU	2021	79.3		64213	
Chile	CHL	2013	79.3		17509926	
Costa Rica	CRI	2011	79.3	7.251115	4679927	
Costa Rica	CRI	2012	79.3		4736593	
Costa Rica	CRI	2020	79.3	7.0694	5123107	
Faroe Islands	FRO	2021	79.3		52915	
Germany	DEU	2005	79.3		81212168	
Gibraltar	GIB	2021	79.3		32698	
Greece	GRC	2004	79.3		11115089	
High-income countries		2007	79.3		1127897627	
